1.55945	-0.138501	0	0	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1.80114	0.0200394	2.29648	-0.203961	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
4.09763	-0.183922	2.29648	-0.203961	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
4.20294	0.209199	2.44254	0.183627	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
6.64548	0.392826	2.44254	0.183627	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
6.52615	0.478792	2.37899	0.336677	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
8.90513	0.815468	2.37899	0.336677	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
8.92701	0.887509	2.48027	0.453908	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
11.4073	1.34142	2.48027	0.453908	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
11.4209	1.42238	2.46345	0.565546	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
13.8844	1.98792	2.46345	0.565546	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
13.7604	2.01238	2.42219	0.625873	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
16.1826	2.63826	2.42219	0.625873	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
16.2793	2.83126	2.61719	0.881774	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
18.8965	3.71304	2.61719	0.881774	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
19.0995	3.81238	2.51711	0.886669	19.363	3.87122	18.923	3.74161	2.61382	0.95648
21.6166	4.69905	2.51711	0.886669	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
21.6485	4.7494	2.63669	0.964788	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
24.2852	5.71419	2.63669	0.964788	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
24.4914	5.8896	2.92344	1.16283	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
27.4148	7.05244	2.92344	1.16283	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
26.8935	6.98289	2.58116	1.19474	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
29.4746	8.17763	2.58116	1.19474	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
29.509	8.24751	2.72944	1.30096	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
32.2384	9.54847	2.72944	1.30096	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
31.9417	9.53288	2.44509	1.3061	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
34.3868	10.839	2.44509	1.3061	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
34.8212	10.9288	2.83407	1.34991	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
37.6553	12.2787	2.83407	1.34991	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
37.5437	12.2997	2.71657	1.36599	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
40.2602	13.6657	2.71657	1.36599	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459
40.0405	13.6586	2.56659	1.38787	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459
42.6071	15.0465	2.56659	1.38787	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938
42.6383	15.0158	2.74626	1.42482	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938
45.3846	16.4406	2.74626	1.42482	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701
