time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1194	1.31004	5.2036	0.221244	0.209288	radar	1286.95	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3402	1.4138	5.17715	0.261173	0.254764	lidar	0.678501	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.589	1.482	5.17715	0.273911	0.254764	radar	1193.64	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.817	1.51247	5.14942	0.265177	0.223683	lidar	0.66909	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.0642	1.58111	5.14942	0.276361	0.223683	radar	884.376	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3748	1.62074	5.2056	0.26034	0.178947	lidar	2.61798	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6251	1.68864	5.2056	0.269287	0.178947	radar	971.357	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8542	1.75868	5.186	0.281211	0.184518	lidar	0.328626	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1021	1.83155	5.186	0.290437	0.184518	radar	1528	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3513	1.85368	5.17454	0.26897	0.138268	lidar	0.417782	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.5997	1.92307	5.17454	0.275883	0.138268	radar	1103.46	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.7805	2.09139	5.13804	0.348991	0.240636	lidar	2.80452	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0206	2.1804	5.13804	0.361023	0.240636	radar	1925.35	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2122	2.34398	5.1158	0.422174	0.31673	lidar	1.33153	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4439	2.45028	5.1158	0.438011	0.31673	radar	2617.4	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7038	2.57372	5.14722	0.454943	0.315929	lidar	1.09978	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9333	2.68825	5.14722	0.47074	0.315929	radar	1866.76	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1589	2.85829	5.1648	0.515321	0.358239	lidar	0.619557	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.3817	2.98713	5.1648	0.533233	0.358239	radar	1897.27	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.5918	3.0481	5.12647	0.515897	0.308448	lidar	2.14153	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.813	3.17584	5.12647	0.531319	0.308448	radar	3170.77	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.008	3.38757	5.14217	0.595739	0.381637	lidar	1.05326	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2187	3.53337	5.14217	0.614821	0.381637	radar	3179.27	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4331	3.72813	5.16952	0.65451	0.41011	lidar	1.04864	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6358	3.88705	5.16952	0.675016	0.41011	radar	2236.13	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.8788	4.01332	5.18463	0.662547	0.357994	lidar	0.650762	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.0811	4.17407	5.18463	0.680447	0.357994	radar	2980.82	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.28	4.37051	5.20259	0.713591	0.379279	lidar	0.469486	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.4743	4.54207	5.20259	0.732555	0.379279	radar	3192.9	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6538	4.71006	5.18982	0.752696	0.382494	lidar	0.207272	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8409	4.88866	5.18982	0.771821	0.382494	radar	3875.29	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9962	5.12279	5.20244	0.824909	0.433038	lidar	0.551065	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1701	5.31511	5.20244	0.846561	0.433038	radar	3210.52	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
